,0
0,Peyton Manning
1,Brett Favre
2,Jake Plummer
3,Dan Marino
4,Steve Young
5,Trent Green
6,Steve McNair
7,Drew Bledsoe
8,Kordell Stewart
9,Trent Dilfer
10,Randall Cunningham
11,Vinny Testaverde
12,Tony Banks
13,John Elway
14,Mark Brunell
15,Doug Flutie
16,Rich Gannon
17,Steve Beuerlein
19,Chris Chandler
20,Craig Whelihan
21,Troy Aikman
22,Charlie Batch
23,Danny Kanell
24,Jim Harbaugh
25,Donald Hollas
26,Warren Moon
27,Erik Kramer
28,Ryan Leaf
29,Bobby Hoying
30,Kent Graham
32,Steve Stenstrom
33,Elvis Grbac
34,Koy Detmer
35,Eric Zeier
36,Jon Kitna
37,Jeff George
38,Jason Garrett
39,Rob Johnson
40,Brad Johnson
41,Kurt Warner
42,Brian Griese
43,Tim Couch
44,Jeff Blake
45,Jeff Garcia
46,Kerry Collins
47,Gus Frerotte
48,Shane Matthews
49,Ray Lucas
50,Mike Tomczak
51,Cade McNown
52,Doug Pederson
53,Damon Huard
54,Donovan McNabb
55,Rick Mirer
56,Jim Miller
57,Stoney Case
58,Dave Brown
60,Akili Smith
61,Shaun King
62,Daunte Culpepper
63,Jay Fiedler
64,Aaron Brooks
65,Scott Mitchell
66,Chris Weinke
67,Tom Brady
68,Matt Hasselbeck
70,Quincy Carter
71,Ty Detmer
72,Drew Brees
73,David Carr
74,Joey Harrington
75,Michael Vick
76,Chad Pennington
77,Rodney Peete
78,Tommy Maddox
79,Chad Hutchinson
80,Patrick Ramsey
81,Marc Bulger
82,Jamie Martin
83,Chris Redman
84,A.J. Feeley
85,Jake Delhomme
86,Byron Leftwich
87,Kelly Holcomb
88,Doug Johnson
89,Kyle Boller
90,Anthony Wright
91,Tim Hasselbeck
92,Josh McCown
93,Carson Palmer
94,Billy Volek
95,Tim Rattay
96,Ben Roethlisberger
97,Ken Dorsey
98,Eli Manning
99,Craig Krenzel
100,Kyle Orton
101,Chris Simms
102,Brooks Bollinger
103,J.P. Losman
104,Mike McMahon
105,David Garrard
106,Alex Smith
107,Charlie Frye
108,Rex Grossman
109,Philip Rivers
110,Matt Leinart
111,Vince Young
112,Tony Romo
113,Bruce Gradkowski
114,Andrew Walter
115,Jason Campbell
116,Jay Cutler
117,Derek Anderson
118,Cleo Lemon
119,Tarvaris Jackson
120,Matt Schaub
121,Trent Edwards
122,Kellen Clemens
123,Sage Rosenfels
124,Brodie Croyle
125,Aaron Rodgers
126,Matt Cassel
127,Matt Ryan
128,Joe Flacco
129,Tyler Thigpen
130,Ryan Fitzpatrick
131,JaMarcus Russell
132,Shaun Hill
133,Dan Orlovsky
134,Seneca Wallace
